model_id,n,n_self,self_prop,y_mean,X_mean,context_mean,n_control,both_levels,self_within_ss,rep,seed
15,100,93,0.93,0.78,1.0048554905420293,0.18570343064922587,7,True,6.509999999999995,10,92620010
16,100,52,0.52,0.6,0.12868675093996806,0.18570343064922587,48,True,24.96,10,92620010
17,100,33,0.33,0.69,-0.35531521587663306,0.18570343064922587,67,True,22.11,10,92620010
18,100,56,0.56,0.66,0.1161450753240949,0.18570343064922587,44,True,24.64,10,92620010
19,100,56,0.56,0.64,0.2210161652483631,0.18570343064922587,44,True,24.64,10,92620010
20,100,61,0.61,0.7,0.0815420055269076,0.18570343064922587,39,True,23.79,10,92620010
21,100,89,0.89,0.61,0.651057044343828,0.18570343064922587,11,True,9.79,10,92620010
22,100,26,0.26,0.54,-0.46235416777524385,0.18570343064922587,74,True,19.24,10,92620010
23,100,14,0.14,0.58,-0.7461532051709696,0.18570343064922587,86,True,12.040000000000001,10,92620010
0,100,37,0.37,0.56,-0.41035400684280887,-0.06477319710415211,63,True,23.31,11,92620011
1,100,67,0.67,0.67,0.3806458530921688,-0.06477319710415211,33,True,22.109999999999996,11,92620011
2,100,37,0.37,0.61,-0.1888721101523103,-0.06477319710415211,63,True,23.31,11,92620011
