rep,seed,cell,n_models,n_items,true_rho,singular_M1,singular_M2,converged_M1,converged_M2,estimate_M1,estimate_M2,se_M1,se_M2,bias_M1,bias_M2,model_intercept_sd_M1,model_intercept_sd_M2,model_slope_sd_M1,model_slope_sd_M2,item_intercept_sd_M1,item_intercept_sd_M2,model_intercept_slope_corr_M1,model_intercept_slope_corr_M2,model_cov_min_eigenvalue_M1,model_cov_min_eigenvalue_M2,slope_zero_M1,slope_zero_M2,model_intercept_zero_M1,model_intercept_zero_M2,item_intercept_zero_M1,item_intercept_zero_M2,corr_boundary_M1,corr_boundary_M2,singularity_transition,estimate_difference_M2_minus_M1,se_difference_M2_minus_M1
18,92623018,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.1232,0.1245,0.0225,0.0208,0.0232,0.0245,0.1062,0.064,0.0847,1.9882e-07,0.0449,0.0455,-1,NA,1.7347e-18,3.9529e-14,False,True,False,False,False,False,True,False,both_singular,0.0012999999999999956,-0.0017000000000000001
18,92623018,P6_D_HIGH_RHO30,100,400,0.3,False,True,True,True,0.1228,0.1241,0.0224,0.0208,0.0228,0.0241,0.1061,0.066,0.0822,0.0,0.0459,0.0464,-0.9926,NA,0.0001,0.0,False,True,False,False,False,False,False,False,M1_nonsingular_to_M2_singular,0.0012999999999999956,-0.0016000000000000007
19,92623019,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,-0.0185,-0.0156,0.0861,0.085,-0.1185,-0.1156,0.1993,0.1637,0.0681,0.0,0.1152,0.1161,-1,NA,8.6736e-19,0.0,False,True,False,False,False,False,True,False,both_singular,0.0029,-0.0010999999999999899
19,92623019,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,-0.0185,-0.0156,0.0861,0.085,-0.1185,-0.1156,0.1993,0.1637,0.0681,0.0,0.1152,0.1161,-1,NA,8.6736e-19,0.0,False,True,False,False,False,False,True,False,both_singular,0.0029,-0.0010999999999999899
19,92623019,P6_C_HIGH_RHO0,100,400,0.0,True,False,True,True,0.1039,0.1038,0.0209,0.021,0.0039,0.0038,0.0358,0.0409,0.015,0.027,0.0879,0.0879,1,NA,5.0293e-09,0.0007,False,False,False,False,False,False,True,False,M1_singular_to_M2_nonsingular,-0.00010000000000000286,0.00010000000000000286
19,92623019,P6_D_HIGH_RHO30,100,400,0.3,True,False,True,True,0.1041,0.104,0.0209,0.021,0.0041,0.004,0.0364,0.0419,0.0163,0.0285,0.0874,0.0874,1,NA,1.5756e-10,0.0008,False,False,False,False,False,False,True,False,M1_singular_to_M2_nonsingular,-0.00010000000000000286,0.00010000000000000286
20,92623020,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.0751,0.0767,0.0958,0.0916,-0.0249,-0.0233,0.2402,0.2126,0.2213,0.1739,3.3635e-08,0.0,-0.3504,NA,0.0342,0.0302,False,False,False,False,True,True,False,False,both_singular,0.0016000000000000042,-0.004199999999999995
20,92623020,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.0718,0.0733,0.0962,0.0921,-0.0282,-0.0267,0.2407,0.2141,0.2251,0.1802,0.0,1.1859e-07,-0.3354,NA,0.0358,0.0325,False,False,False,False,True,True,False,False,both_singular,0.0015000000000000013,-0.0040999999999999925
20,92623020,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.0972,0.0972,0.0208,0.0208,-0.0028,-0.0028,0.0748,0.0761,0.0026,0.0,0.0,2.6098e-07,1,NA,8.4703e-22,1.2145e-10,False,True,False,False,True,True,True,False,both_singular,0.0,0.0
20,92623020,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.0977,0.0976,0.0208,0.0208,-0.0023,-0.0024,0.0762,0.0798,0.0074,0.0,0.0,0.0,1,NA,-1.3553e-20,1.9044e-10,False,True,False,False,True,True,True,False,both_singular,-9.999999999998899e-05,0.0
21,92623021,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,-0.0098,-0.0079,0.0926,0.0882,-0.1098,-0.1079,0.1382,0.0954,0.1647,0.0905,0.0,0.0,-0.6601,NA,0.0076,0.0082,False,False,False,False,True,True,False,False,both_singular,0.001899999999999999,-0.004400000000000001
